fips	state	county	population	percent_fair_or_poor_health
27035	Minnesota	Crow Wing	14029	12.26978651
27037	Minnesota	Dakota	110392	9.988492413
27039	Minnesota	Dodge	5069	10.65672463
27041	Minnesota	Douglas	8263	12.7519447
27043	Minnesota	Faribault	2857	12.40729309
27045	Minnesota	Fillmore	4481	11.07118534
27047	Minnesota	Freeborn	6746	13.77094932
27049	Minnesota	Goodhue	10503	12.19481933
27051	Minnesota	Grant	1255	12.24069238
27053	Minnesota	Hennepin	374964	10.45592984
27055	Minnesota	Houston	3926	11.42854774
27057	Minnesota	Hubbard	4015	11.85510616
27059	Minnesota	Isanti	9733	11.10788174
27061	Minnesota	Itasca	9380	13.78721306
27063	Minnesota	Jackson	2182	11.87861186
27065	Minnesota	Kanabec	3407	13.01776091
27067	Minnesota	Kandiyohi	9861	14.12762496
27069	Minnesota	Kittson	789	12.51617204
27071	Minnesota	Koochiching	2432	14.78773121
27073	Minnesota	Lac qui Parle	1193	11.72556028
27075	Minnesota	Lake	2145	11.12271867
27077	Minnesota	Lake of the Woods	705	12.34221792
27079	Minnesota	Le Sueur	6402	11.19230288
27081	Minnesota	Lincoln	1122	12.20599635
27083	Minnesota	Lyon	6406	13.48690248
27085	Minnesota	McLeod	8645	12.35335973
27087	Minnesota	Mahnomen	1105	20.01959543
27089	Minnesota	Marshall	1972	13.30483667
27091	Minnesota	Martin	4139	11.73075503
27093	Minnesota	Meeker	4989	11.20997732
27095	Minnesota	Mille Lacs	6025	13.98533542
27097	Minnesota	Morrison	7374	13.2325684
27099	Minnesota	Mower	9384	14.38207356
27101	Minnesota	Murray	1605	10.96645218
27103	Minnesota	Nicollet	8690	11.08505607
27105	Minnesota	Nobles	5348	16.16257027
27107	Minnesota	Norman	1344	12.78629339
27109	Minnesota	Olmsted	42071	9.999653681
27111	Minnesota	Otter Tail	11286	11.59276672
27113	Minnesota	Pennington	3575	11.42269968
27115	Minnesota	Pine	6752	15.12896641
27117	Minnesota	Pipestone	1925	13.00001907
27119	Minnesota	Polk	7229	13.59187143
27121	Minnesota	Pope	2380	10.93649345
27123	Minnesota	Ramsey	154913	12.77793896
27125	Minnesota	Red Lake	902	11.45289773
27127	Minnesota	Redwood	3086	13.77879116
27129	Minnesota	Renville	3052	13.03303081
27131	Minnesota	Rice	15156	12.43219845
27133	Minnesota	Rock	2081	12.03634062
27135	Minnesota	Roseau	3340	11.88273467
27137	Minnesota	St. Louis	44974	13.07198292
27139	Minnesota	Scott	39042	10.62536478
27141	Minnesota	Sherburne	25925	10.81442714
27143	Minnesota	Sibley	3363	11.39501831
27145	Minnesota	Stearns	36788	13.00577554
27147	Minnesota	Steele	8496	11.98482418
27149	Minnesota	Stevens	2078	12.72477848
27151	Minnesota	Swift	2071	12.89443014
27153	Minnesota	Todd	4838	12.93458312
27155	Minnesota	Traverse	628	12.33094466
27157	Minnesota	Wabasha	4594	10.61507873
27159	Minnesota	Wadena	2895	13.27881562
27161	Minnesota	Waseca	4803	12.85198733
27163	Minnesota	Washington	62523	8.929456139
27165	Minnesota	Watonwan	2293	15.98355346
27167	Minnesota	Wilkin	1378	11.63422183
27169	Minnesota	Winona	10768	13.02617899
27171	Minnesota	Wright	35071	10.79855801
27173	Minnesota	Yellow Medicine	2213	13.41543337
28000	Mississippi		759677	24.14845834
28001	Mississippi	Adams	8083	27.27744672
28003	Mississippi	Alcorn	9075	22.49480354
28005	Mississippi	Amite	2719	24.68226967
28007	Mississippi	Attala	4119	24.11024276
28009	Mississippi	Benton	1996	21.61318577
28011	Mississippi	Bolivar	8195	27.93109341
28013	Mississippi	Calhoun	3320	25.26450346
28015	Mississippi	Carroll	2024	19.07534039
28017	Mississippi	Chickasaw	4157	25.49422119
28019	Mississippi	Choctaw	1787	23.05822231
28021	Mississippi	Claiborne	1829	37.27463793
28023	Mississippi	Clarke	3602	21.50549347
28025	Mississippi	Clay	4769	26.77998559
28027	Mississippi	Coahoma	5490	34.90213956
28029	Mississippi	Copiah	6673	26.79537574
28031	Mississippi	Covington	4423	24.10044195
28033	Mississippi	DeSoto	48024	17.53926756
28035	Mississippi	Forrest	20126	23.25296388
28037	Mississippi	Franklin	1738	22.368359
28039	Mississippi	George	6056	18.89322794
28041	Mississippi	Greene	4112	17.23054367
28043	Mississippi	Grenada	5108	24.80831134
28045	Mississippi	Hancock	10747	20.18751426
28047	Mississippi	Harrison	53986	20.98271876
28049	Mississippi	Hinds	64086	21.01456118
28051	Mississippi	Holmes	4214	37.55165046
28053	Mississippi	Humphreys	1861	36.16691619
28055	Mississippi	Issaquena	484	35.33285206
28057	Mississippi	Itawamba	5583	21.00735087
28059	Mississippi	Jackson	36643	21.53050811
28061	Mississippi	Jasper	3635	26.55325671
28063	Mississippi	Jefferson	1789	37.47036909
28065	Mississippi	Jefferson Davis	2511	31.56624023
28067	Mississippi	Jones	16651	23.84819571
28069	Mississippi	Kemper	2147	31.43762395
28071	Mississippi	Lafayette	13955	20.05856846
28073	Mississippi	Lamar	17950	18.12006753
28075	Mississippi	Lauderdale	19373	21.08472095
28077	Mississippi	Lawrence	2827	23.56059654
28079	Mississippi	Leake	5579	26.45276238
28081	Mississippi	Lee	22279	20.92415561
28083	Mississippi	Leflore	7323	30.91647539
28085	Mississippi	Lincoln	8445	21.56007089
28087	Mississippi	Lowndes	15175	22.68965949
28089	Mississippi	Madison	27757	17.03314873
28091	Mississippi	Marion	6090	24.69425632
28093	Mississippi	Marshall	8590	23.95676142
28095	Mississippi	Monroe	8445	22.26677458
28097	Mississippi	Montgomery	2380	24.24383493
28099	Mississippi	Neshoba	7030	23.87361074
28101	Mississippi	Newton	5074	24.45094415
28103	Mississippi	Noxubee	2512	29.786284
28105	Mississippi	Oktibbeha	11631	23.46727747
28107	Mississippi	Panola	8480	24.30239715
28109	Mississippi	Pearl River	12678	19.56410481
28111	Mississippi	Perry	2841	23.75378865
28113	Mississippi	Pike	9181	28.26828571
28115	Mississippi	Pontotoc	7782	20.0096093
28117	Mississippi	Prentiss	6128	24.20285404
28119	Mississippi	Quitman	1722	36.07843517
28121	Mississippi	Rankin	43050	16.9668924
28123	Mississippi	Scott	7311	29.3964005
28125	Mississippi	Sharkey	950	33.15246063
28127	Mississippi	Simpson	6655	25.07468489
28129	Mississippi	Smith	3731	22.423573
28131	Mississippi	Stone	4437	20.36944198
28133	Mississippi	Sunflower	7600	31.05927496
28135	Mississippi	Tallahatchie	4828	27.87308319
28137	Mississippi	Tate	6740	20.898862
28139	Mississippi	Tippah	5065	23.15908902
28141	Mississippi	Tishomingo	4439	21.75951128
28143	Mississippi	Tunica	3462	30.11566358
28145	Mississippi	Union	7347	21.0231521
28147	Mississippi	Walthall	3225	28.73943089
28149	Mississippi	Warren	11496	24.6126012
28151	Mississippi	Washington	11080	29.40780581
28153	Mississippi	Wayne	4883	24.60137447
28155	Mississippi	Webster	2183	22.84457908
28157	Mississippi	Wilkinson	2482	31.84848897
28159	Mississippi	Winston	4276	25.2143593
28161	Mississippi	Yalobusha	2763	25.42254958
28163	Mississippi	Yazoo	8685	30.58223556
29000	Missouri		1542544	18.01923151
29001	Missouri	Adair	4758	21.40149981
29003	Missouri	Andrew	4003	16.33658217
29005	Missouri	Atchison	1113	17.39600751
29007	Missouri	Audrain	6457	19.39925645
29009	Missouri	Barry	7491	21.36258799
29011	Missouri	Barton	2524	20.85142862
29013	Missouri	Bates	3652	19.50929522
29015	Missouri	Benton	3181	20.32595055
29017	Missouri	Bollinger	2702	20.70678669
29019	Missouri	Boone	47402	16.68982849
29021	Missouri	Buchanan	23889	21.12809305
29023	Missouri	Butler	10130	23.17845352
29025	Missouri	Caldwell	1935	19.56028384
29027	Missouri	Callaway	11224	18.05746649
29029	Missouri	Camden	8020	17.58914905
29031	Missouri	Cape Girardeau	18623	19.1576479
29033	Missouri	Carroll	1941	19.31250975
29035	Missouri	Carter	1302	20.33487026
29037	Missouri	Cass	24954	16.91802313
29039	Missouri	Cedar	2796	21.55448809
29041	Missouri	Chariton	1481	19.46329377
29043	Missouri	Christian	22416	17.75466911
29045	Missouri	Clark	1465	18.48381583
29047	Missouri	Clay	67221	16.04661173
29049	Missouri	Clinton	4763	16.20987537
29051	Missouri	Cole	20301	16.92925795
29053	Missouri	Cooper	4601	18.10382575
29055	Missouri	Crawford	5583	23.2236729
29057	Missouri	Dade	1494	21.41430067
29059	Missouri	Dallas	3463	19.66271122
29061	Missouri	Daviess	1723	18.44236445
29063	Missouri	DeKalb	3972	18.10472026
29065	Missouri	Dent	3312	21.95301244
29067	Missouri	Douglas	2620	21.41302071
29069	Missouri	Dunklin	6777	30.35398991
29071	Missouri	Franklin	24253	17.54779279
29073	Missouri	Gasconade	2995	17.49402285
29075	Missouri	Gentry	1442	18.40881071
29077	Missouri	Greene	74238	17.40331419
29079	Missouri	Grundy	2141	19.42935247
29081	Missouri	Harrison	1818	20.32757454
29083	Missouri	Henry	4791	19.74928359
29085	Missouri	Hickory	1448	21.858621
29087	Missouri	Holt	887	18.59635164
29089	Missouri	Howard	2071	19.24020673
29091	Missouri	Howell	9193	21.96172943
29093	Missouri	Iron	2199	21.6545912
29095	Missouri	Jackson	192727	16.76643134
29097	Missouri	Jasper	31521	18.97149796
29099	Missouri	Jefferson	58023	18.59384267
29101	Missouri	Johnson	13043	17.77177216
29103	Missouri	Knox	745	20.38031837
29105	Missouri	Laclede	8378	20.49894647
29107	Missouri	Lafayette	7258	17.33860966
29109	Missouri	Lawrence	8693	20.39106933
29111	Missouri	Lewis	2114	18.89992946
29113	Missouri	Lincoln	14108	17.92665647
29115	Missouri	Linn	2574	20.54557815
29117	Missouri	Livingston	4002	18.48785883
29119	Missouri	McDonald	5573	23.19387264
29121	Missouri	Macon	3176	19.64318117
29123	Missouri	Madison	2927	21.64649871
29125	Missouri	Maries	1890	18.88869386
29127	Missouri	Marion	6733	19.6545516
29129	Missouri	Mercer	704	19.81889207
29131	Missouri	Miller	5706	20.96975921
29133	Missouri	Mississippi	3673	30.64218857
29135	Missouri	Moniteau	4142	16.80194283
29137	Missouri	Monroe	1747	18.18915742
29139	Missouri	Montgomery	2524	20.13267547
29141	Missouri	Morgan	3909	21.81167339
29143	Missouri	New Madrid	4086	26.27239265
29145	Missouri	Newton	13506	19.42340087
29147	Missouri	Nodaway	4648	19.20956955
29149	Missouri	Oregon	2059	22.4579566
29151	Missouri	Osage	3099	15.47190504
29153	Missouri	Ozark	1642	23.68319229
29155	Missouri	Pemiscot	3902	28.19336305
29157	Missouri	Perry	4476	17.6311203
29159	Missouri	Pettis	10334	22.28100504
29161	Missouri	Phelps	10043	20.44311536
29163	Missouri	Pike	4735	20.45145448
29165	Missouri	Platte	26655	14.1014066
29167	Missouri	Polk	6815	20.16833107
29169	Missouri	Pulaski	15120	19.19121019
29171	Missouri	Putnam	872	21.66793805
29173	Missouri	Ralls	2164	17.05965188
29175	Missouri	Randolph	6547	20.11430221
29177	Missouri	Ray	5143	17.63614838
29179	Missouri	Reynolds	1403	20.94809563
29181	Missouri	Ripley	3142	23.54356854
29183	Missouri	St. Charles	102768	13.55314996
29185	Missouri	St. Clair	1738	21.05548215
29186	Missouri	Ste. Genevieve	3890	17.7087033
29187	Missouri	St. Francois	18454	19.09420512
29189	Missouri	St. Louis	244456	16.378972
29195	Missouri	Saline	5468	21.75019512
29197	Missouri	Schuyler	941	19.53119581
29199	Missouri	Scotland	1038	19.94250566
29201	Missouri	Scott	9255	23.96496051
29203	Missouri	Shannon	1680	24.19619807
29205	Missouri	Shelby	1317	18.14571597
29207	Missouri	Stoddard	6981	22.62200448
29209	Missouri	Stone	5386	18.74686236
29211	Missouri	Sullivan	1516	22.35907941
29213	Missouri	Taney	12144	20.02089192
29215	Missouri	Texas	6036	22.04571841
29217	Missouri	Vernon	4578	19.8559232
29219	Missouri	Warren	7867	17.15652285
29221	Missouri	Washington	6142	21.99400809
29223	Missouri	Wayne	2632	23.57681761
29225	Missouri	Webster	9027	20.09429615
29227	Missouri	Worth	407	18.49800403
29229	Missouri	Wright	3822	23.87831909
29510	Missouri	St. Louis City	101955	21.99993269
30000	Montana		252868	14.73141046
30001	Montana	Beaverhead	1847	13.981103
30003	Montana	Big Horn	3102	22.6566297
30005	Montana	Blaine	1568	23.11308311
30007	Montana	Broadwater	1119	13.07772141
30009	Montana	Carbon	2099	12.25190402
30011	Montana	Carter	255	12.06816293
30013	Montana	Cascade	20140	16.12937353
30015	Montana	Chouteau	1248	17.19985341
30017	Montana	Custer	2851	12.2993058
30019	Montana	Daniels	354	11.21548025
30021	Montana	Dawson	2351	12.23394212
30023	Montana	Deer Lodge	2014	17.6883458
30025	Montana	Fallon	724	10.70918472
30027	Montana	Fergus	2513	14.15217097
30029	Montana	Flathead	23524	13.54734503
30031	Montana	Gallatin	30684	11.24050998
30033	Montana	Garfield	213	11.98302393
30035	Montana	Glacier	3332	24.89642445
30037	Montana	Golden Valley	89	14.55901869
30039	Montana	Granite	533	12.26295517
30041	Montana	Hill	3955	16.88340862
30043	Montana	Jefferson	2248	11.61114888
30045	Montana	Judith Basin	369	13.26631824
30047	Montana	Lake	6171	17.24931126
30049	Montana	Lewis and Clark	16371	12.59150402
30051	Montana	Liberty	455	12.05604846
30053	Montana	Lincoln	3362	16.13972705
30055	Montana	McCone	316	11.58687556
30057	Montana	Madison	1709	11.88886242
30059	Montana	Meagher	485	15.32032134
30061	Montana	Mineral	732	16.15467363
30063	Montana	Missoula	32336	13.92346786
30065	Montana	Musselshell	877	16.30633853
30067	Montana	Park	3895	12.79737183
30069	Montana	Petroleum	82	12.73508144
30071	Montana	Phillips	737	15.78226434
30073	Montana	Pondera	1266	16.82344185
30075	Montana	Powder River	273	14.18500622
30077	Montana	Powell	1801	14.97353277
30079	Montana	Prairie	235	12.35395805
30081	Montana	Ravalli	8032	13.62725791
30083	Montana	Richland	2947	11.82028494
30085	Montana	Roosevelt	2759	23.20460804
30087	Montana	Rosebud	2001	17.02807425
30089	Montana	Sanders	1901	17.27685783
30091	Montana	Sheridan	776	12.16076749
30093	Montana	Silver Bow	7579	15.90143379
30095	Montana	Stillwater	1828	11.51212418
30097	Montana	Sweet Grass	618	11.52149178
30099	Montana	Teton	1188	12.40174679
30101	Montana	Toole	1245	14.33054913
30103	Montana	Treasure	106	15.03631544
30105	Montana	Valley	1620	14.31509615
30107	Montana	Wheatland	465	15.87922286
30109	Montana	Wibaux	192	13.80087534
30111	Montana	Yellowstone	41376	13.05681468
31000	Nebraska		487036	14.44429921
31001	Nebraska	Adams	6936	15.75268492
31003	Nebraska	Antelope	1219	13.62217529
31005	Nebraska	Arthur	63	13.97526135
31007	Nebraska	Banner	152	13.93965071
31009	Nebraska	Blaine	91	11.84352245
31011	Nebraska	Boone	1038	11.77453828
31013	Nebraska	Box Butte	2434	15.35410656
31015	Nebraska	Boyd	355	13.01215657
31017	Nebraska	Brown	589	15.00904301
31019	Nebraska	Buffalo	12509	14.87967601
31021	Nebraska	Burt	1256	14.53167522
31023	Nebraska	Butler	1655	12.71831419
31025	Nebraska	Cass	5842	12.75902199
31027	Nebraska	Cedar	1608	11.2400743
31029	Nebraska	Chase	794	14.48226971
31031	Nebraska	Cherry	1411	14.2801623
31033	Nebraska	Cheyenne	2356	12.35156089
31035	Nebraska	Clay	1301	13.40948643
31037	Nebraska	Colfax	2827	18.50499236
31039	Nebraska	Cuming	1756	12.463198
31041	Nebraska	Custer	2296	13.80807846
31043	Nebraska	Dakota	5029	20.43143352
31045	Nebraska	Dawes	1828	13.22471271
31047	Nebraska	Dawson	5855	18.18603989
31049	Nebraska	Deuel	387	13.93852434
31051	Nebraska	Dixon	1173	12.5200266
31053	Nebraska	Dodge	8426	13.44644906
31055	Nebraska	Douglas	160345	14.52861885
31057	Nebraska	Dundy	427	16.43936325
31059	Nebraska	Fillmore	1149	12.38669186
31061	Nebraska	Franklin	549	14.39100808
31063	Nebraska	Frontier	456	12.11398811
31065	Nebraska	Furnas	923	15.28131871
31067	Nebraska	Gage	4787	13.32173621
31069	Nebraska	Garden	386	14.25105164
31071	Nebraska	Garfield	342	14.03531621
31073	Nebraska	Gosper	374	11.48913031
31075	Nebraska	Grant	132	15.95873996
31077	Nebraska	Greeley	454	13.17539082
31079	Nebraska	Hall	15598	17.54852712
31081	Nebraska	Hamilton	1943	12.37154325
31083	Nebraska	Harlan	631	14.39520188
31085	Nebraska	Hayes	228	15.3153614
31087	Nebraska	Hitchcock	570	16.47799084
31089	Nebraska	Holt	2034	12.55912298
31091	Nebraska	Hooker	92	13.80733953
31093	Nebraska	Howard	1385	12.33605153
31095	Nebraska	Jefferson	1462	13.20216787
31097	Nebraska	Johnson	1404	14.42752842
31099	Nebraska	Kearney	1446	13.14880989
31101	Nebraska	Keith	1599	13.9458339
31103	Nebraska	Keya Paha	146	11.36905
31105	Nebraska	Kimball	771	17.48355823
31107	Nebraska	Knox	1515	14.03395073
31109	Nebraska	Lancaster	81648	13.61597829
31111	Nebraska	Lincoln	8491	14.72484022
31113	Nebraska	Logan	182	14.14936387
31115	Nebraska	Loup	98	12.5382626
31117	Nebraska	McPherson	69	13.60959729
31119	Nebraska	Madison	8552	15.98111216
31121	Nebraska	Merrick	1711	14.03031008
31123	Nebraska	Morrill	1074	16.33407182
31125	Nebraska	Nance	748	13.19739542
31127	Nebraska	Nemaha	1500	12.75926935
31129	Nebraska	Nuckolls	795	13.29468412
31131	Nebraska	Otoe	3565	16.45081598
31133	Nebraska	Pawnee	472	15.65286371
31135	Nebraska	Perkins	676	11.04525611
31137	Nebraska	Phelps	1923	12.13171521
31139	Nebraska	Pierce	1527	12.10482299
31141	Nebraska	Platte	7785	14.42255595
31143	Nebraska	Polk	1014	12.22686103
31145	Nebraska	Red Willow	2405	14.77661263
31147	Nebraska	Richardson	1610	14.96931056
31149	Nebraska	Rock	233	12.43569098
31151	Nebraska	Saline	3499	16.02147797
31153	Nebraska	Sarpy	51567	10.59367362
31155	Nebraska	Saunders	4521	13.33719455
31157	Nebraska	Scotts Bluff	8404	19.22728324
31159	Nebraska	Seward	3667	12.02640609
31161	Nebraska	Sheridan	993	16.3631323
31163	Nebraska	Sherman	545	13.05527015
31165	Nebraska	Sioux	248	13.93495714
31167	Nebraska	Stanton	1353	14.7380168
31169	Nebraska	Thayer	948	12.97792728
31171	Nebraska	Thomas	191	13.3749039
31173	Nebraska	Thurston	1525	25.12486502
31175	Nebraska	Valley	851	14.06960906
31177	Nebraska	Washington	4459	11.72031324
31179	Nebraska	Wayne	1868	13.42943567
31181	Nebraska	Webster	690	13.74029249
31183	Nebraska	Wheeler	179	13.73119322
31185	Nebraska	York	3116	13.27048528
32000	Nevada		814461	19.85329806
32001	Nevada	Churchill	5541	17.09434547
32003	Nevada	Clark	616012	19.2624033
32005	Nevada	Douglas	9300	15.270305
32007	Nevada	Elko	14443	17.7007058
32009	Nevada	Esmeralda	242	22.36804386
32011	Nevada	Eureka	373	15.99065819
32013	Nevada	Humboldt	4515	17.95349553
32015	Nevada	Lander	1295	18.05645742
32017	Nevada	Lincoln	1132	15.85718717
32019	Nevada	Lyon	12352	18.04623348
32021	Nevada	Mineral	895	21.93084817
32023	Nevada	Nye	8260	19.12023206
32027	Nevada	Pershing	2088	19.55909836
32029	Nevada	Storey	745	15.70571792
32031	Nevada	Washoe	121610	15.86252765
32033	Nevada	White Pine	2840	18.55038116
32510	Nevada	Carson City	12818	19.81926331
33000	New Hampshire		317212	13.10896829
33001	New Hampshire	Belknap	12824	12.06237751
33003	New Hampshire	Carroll	8811	12.58488768
33005	New Hampshire	Cheshire	16818	12.8603032
33007	New Hampshire	Coos	7039	14.85892909
33009	New Hampshire	Grafton	20026	11.73241985
33011	New Hampshire	Hillsborough	105087	12.12360931
33013	New Hampshire	Merrimack	35266	10.92609133
33015	New Hampshire	Rockingham	71025	9.280183544
33017	New Hampshire	Strafford	30622	14.28095424
33019	New Hampshire	Sullivan	9694	13.01803767
34000	New Jersey		2278889	17.73167308
34001	New Jersey	Atlantic	62496	20.65069516
34003	New Jersey	Bergen	230103	14.47195091
34005	New Jersey	Burlington	109662	14.399465
34007	New Jersey	Camden	133411	18.53840478
34009	New Jersey	Cape May	18367	17.64806047
34011	New Jersey	Cumberland	42596	22.57736756
34013	New Jersey	Essex	218771	18.70506552
34015	New Jersey	Gloucester	71989	16.13240685
34017	New Jersey	Hudson	244193	20.49057074
34019	New Jersey	Hunterdon	23893	10.51607611
34021	New Jersey	Mercer	93476	14.95828889
34023	New Jersey	Middlesex	226995	14.47957386
34025	New Jersey	Monmouth	138133	13.6345305
34027	New Jersey	Morris	113935	12.82646835
34029	New Jersey	Ocean	124295	14.81262318
34031	New Jersey	Passaic	131553	24.00583986
34033	New Jersey	Salem	14776	19.15770089
34035	New Jersey	Somerset	78892	12.16998825
34037	New Jersey	Sussex	30821	13.00397837
34039	New Jersey	Union	146980	19.40523254
34041	New Jersey	Warren	23552	14.50176525
35000	New Mexico		527913	20.58442405
35001	New Mexico	Bernalillo	187505	18.2156842
35003	New Mexico	Catron	349	16.33226741
35005	New Mexico	Chaves	15730	23.16522945
35006	New Mexico	Cibola	7258	27.81915578
35007	New Mexico	Colfax	2439	23.55919616
35009	New Mexico	Curry	14394	22.05243432
35011	New Mexico	De Baca	484	21.43281001
35013	New Mexico	Dona Ana	50875	25.12196246
35015	New Mexico	Eddy	14837	19.44133274
35017	New Mexico	Grant	5750	20.33595954
35019	New Mexico	Guadalupe	1256	23.87610904
35021	New Mexico	Harding	69	19.8459859
35023	New Mexico	Hidalgo	957	24.87177645
35025	New Mexico	Lea	18922	22.2105906
35027	New Mexico	Lincoln	3694	17.98039275
35028	New Mexico	Los Alamos	4331	10.42026489
35029	New Mexico	Luna	5143	26.68347898
35031	New Mexico	McKinley	18752	26.47581838
35033	New Mexico	Mora	783	34.3942116
35035	New Mexico	Otero	16815	22.30564828
35037	New Mexico	Quay	1852	22.5579722
35039	New Mexico	Rio Arriba	8931	26.14444352
35041	New Mexico	Roosevelt	4403	21.85443963
35043	New Mexico	Sandoval	35287	16.06402641
35045	New Mexico	San Juan	33245	21.95378047
35047	New Mexico	San Miguel	6144	28.65926541
35049	New Mexico	Santa Fe	33811	16.88914766
35051	New Mexico	Sierra	1704	20.0834154
35053	New Mexico	Socorro	3450	23.59528883
35055	New Mexico	Taos	6265	21.7175936
35057	New Mexico	Torrance	3309	23.40951381
35059	New Mexico	Union	1162	18.16656261
35061	New Mexico	Valencia	18007	22.52130878
36000	New York		5306912	16.60823716
36001	New York	Albany	74847	14.20867141
36003	New York	Allegany	9409	14.41629236
36005	New York	Bronx	408923	26.79894691
36007	New York	Broome	41549	15.92998494
36009	New York	Cattaraugus	16792	16.37069987
36011	New York	Cayuga	18657	14.1583723
36013	New York	Chautauqua	28697	18.0179014
36015	New York	Chemung	20673	14.74862208
36017	New York	Chenango	10487	14.73507666
36019	New York	Clinton	19526	14.76726582
36021	New York	Columbia	13007	13.71713669
36023	New York	Cortland	10345	13.40637237
36025	New York	Delaware	8723	15.39314506
36027	New York	Dutchess	67685	14.69691904
36029	New York	Erie	230161	15.94717447
36031	New York	Essex	8808	11.42002492
36033	New York	Franklin	13076	15.64206813
36035	New York	Fulton	12615	15.74909683
36037	New York	Genesee	13461	13.69986732
36039	New York	Greene	10926	14.27853418
36041	New York	Hamilton	657	13.87472855
36043	New York	Herkimer	13512	16.03126072
36045	New York	Jefferson	32949	16.41100287
36047	New York	Kings	834050	18.13073202
36049	New York	Lewis	6033	14.04334477
36051	New York	Livingston	13621	15.44869628
36053	New York	Madison	14742	13.12679604
36055	New York	Monroe	187573	13.77738944
36057	New York	Montgomery	11848	17.2821441
36059	New York	Nassau	318254	12.05441176
36061	New York	New York	601090	15.6102798
36063	New York	Niagara	49409	14.24343464
36065	New York	Oneida	53964	15.5782081
36067	New York	Onondaga	113259	14.31436486
36069	New York	Ontario	23731	13.29013551
36071	New York	Orange	88448	14.87956046
36073	New York	Orleans	10098	15.71564985
36075	New York	Oswego	27266	15.36428631
36077	New York	Otsego	11417	14.80165797
36079	New York	Putnam	22069	11.98060452
36081	New York	Queens	693235	18.51035865
36083	New York	Rensselaer	40495	15.01720205
36085	New York	Richmond	123397	15.4213659
36087	New York	Rockland	73016	17.25121554
36089	New York	St. Lawrence	24695	17.59774901
36091	New York	Saratoga	55364	11.11918661
36093	New York	Schenectady	38883	14.69471284
36095	New York	Schoharie	6485	14.79511209
36097	New York	Schuyler	3952	15.25177484
36099	New York	Seneca	8534	14.64891812
36101	New York	Steuben	22246	15.95104426
36103	New York	Suffolk	351314	13.07113322
36105	New York	Sullivan	17333	17.14286287
36107	New York	Tioga	10685	13.69014989
36109	New York	Tompkins	23566	13.56594945
36111	New York	Ulster	42727	15.93383775
36113	New York	Warren	14393	12.7212378
36115	New York	Washington	14767	14.25873621
36117	New York	Wayne	20010	15.4466836
36119	New York	Westchester	234209	14.80118878
36121	New York	Wyoming	10283	13.95407208
36123	New York	Yates	4966	14.67449208
37000	North Carolina		2638730	18.45562096
37001	North Carolina	Alamance	38626	17.95470436
37003	North Carolina	Alexander	9163	15.92083742
37005	North Carolina	Alleghany	2145	18.94930435
37007	North Carolina	Anson	6774	22.77445106
37009	North Carolina	Ashe	5863	15.80950584
37011	North Carolina	Avery	4505	16.6476292
37013	North Carolina	Beaufort	9619	18.95697872
37015	North Carolina	Bertie	4667	22.60944257
37017	North Carolina	Bladen	7751	20.76432734
37019	North Carolina	Brunswick	24345	16.41590259
37021	North Carolina	Buncombe	68752	14.47350848
37023	North Carolina	Burke	20849	17.01434943
37025	North Carolina	Cabarrus	54145	14.73024749
37027	North Carolina	Caldwell	18827	16.66850002
37029	North Carolina	Camden	2444	13.76878933
37031	North Carolina	Carteret	14838	15.93665339
37033	North Carolina	Caswell	5100	18.90055651
37035	North Carolina	Catawba	37145	15.39338682
37037	North Carolina	Chatham	14443	15.4936057
37039	North Carolina	Cherokee	5247	17.30202883
37041	North Carolina	Chowan	3436	20.64132206
37043	North Carolina	Clay	2064	17.07092813
37045	North Carolina	Cleveland	21714	17.91078516
37047	North Carolina	Columbus	13353	21.97416485
37049	North Carolina	Craven	25144	17.03862902
37051	North Carolina	Cumberland	95821	19.49856118
37053	North Carolina	Currituck	6131	13.64242451
37055	North Carolina	Dare	8263	14.15556627
37057	North Carolina	Davidson	38618	17.42217102
37059	North Carolina	Davie	8905	14.89497084
37061	North Carolina	Duplin	13820	26.35248689
37063	North Carolina	Durham	99020	16.67916574
37065	North Carolina	Edgecombe	12055	24.72576977
37067	North Carolina	Forsyth	93628	17.06110127
37069	North Carolina	Franklin	15650	20.01341814
37071	North Carolina	Gaston	55417	18.0914719
37073	North Carolina	Gates	2457	16.6781356
37075	North Carolina	Graham	1697	18.24160709
37077	North Carolina	Granville	14091	17.05486431
37079	North Carolina	Greene	5886	22.48793253
37081	North Carolina	Guilford	137324	16.26130367
37083	North Carolina	Halifax	11463	24.19346263
37085	North Carolina	Harnett	38186	18.68184096
37087	North Carolina	Haywood	13246	15.33596864
37089	North Carolina	Henderson	24268	14.89630162
37091	North Carolina	Hertford	5478	23.50295857
37093	North Carolina	Hoke	17356	22.32016184
37095	North Carolina	Hyde	1496	18.72912883
37097	North Carolina	Iredell	42505	16.00370356
37099	North Carolina	Jackson	8904	17.15437598
37101	North Carolina	Johnston	50474	16.70434749
37103	North Carolina	Jones	2260	20.7506971
37105	North Carolina	Lee	14923	18.79597613
37107	North Carolina	Lenoir	12812	21.57427017
37109	North Carolina	Lincoln	19331	15.86311868
37111	North Carolina	McDowell	10789	17.23917478
37113	North Carolina	Macon	6890	16.19865725
37115	North Carolina	Madison	4727	15.71132127
37117	North Carolina	Martin	4787	21.7120934
37119	North Carolina	Mecklenburg	334495	15.35144379
